k a,Quickparse duplicates arguments passed to preprocess command,VC-396,"In previous versions of VectorCAST/C++, the preprocess command executed during theQuickparse stage of environment build unnecessarily duplicated some arguments, leading toexcessively long command lines, which in some cases, exceeded the Windows command linelength limitation. This problem has been fixed in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This bug would likely lead to an obvious build failure.,No Risk,
k a,Remove VCAST_PREPROCESS_PREINCLUDE from GNU templates >= 3.0,VC-415,"In previous versions of VectorCAST/C++, selecting any GNU compiler template would set thecompiler option ""Preprocess include file"" (VCAST_PREPROCESS_PREINCLUDE) to anintrinsics.h header file which declared various functions that are built-in to gcc and g++.The declarations are no longer needed by VectorCAST to parse code for gcc and g++, and thusVectorCAST version 2025 SP1 no longer sets the VCAST_PREPROCESS_PREINCLUDE option tothis header file when selecting a compiler template for most GNU compiler versions.",Correction in newer version (release notes),No Risk. This is a code quality/performance improvement. It does not affect test correctness.,No Risk,
k a,Display corrupted monitored cover environment as invalid,VC-471,"Previously, VectorCAST Projects with a corrupted monitored cover environment would trigger amodal dialog when hovered over, instead of displaying as invalid and showing the error as atooltip. This issue has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a usability enhancement that provides a clearer warning for a corrupted environment.,No Risk,
k a,Support output for testcases failing due to a signal failure,VC-481,"Previously, when using clicast to execute testcases in a VectorCAST unit test environment, the console execution report output did not support testcases that intentionally or unintentionally raised a signal, and therefore they displayed as though they were passing. Signals and exceptions are now supported in VectorCAST version 2025 SP1, where tests are correctly identified as failing and additional information is provided.",Correction in newer version (release notes),"Potential Risk. The previous behavior would incorrectly report a failing test as passing. This is a silent failure that compromises test integrity and is a severe risk for safety-critical software.
A problem solving process has been initiated to investigate the impact of these problems/bugs on medical devices already developed with the software tool.",Risk exists,
k a,VectorCAST's vcshell and vcutil should decline to instrument c_cover_io file,VC-483,"Previously, using the VectorCAST utilities vcshell and vcutil to instrument source code whileincluding VectorCAST's c_cover_io.c file caused an error when building the instrumentedexecutable. This problem has been fixed in VectorCAST version 2025 SP1, where VectorCAST'sinternal files c_cover_io.c, c_cover_io.cpp, and c_cover.h are not instrumented even ifthey are present in the vshell database.",Correction in newer version (release notes),No Risk. This bug causes an obvious build error easily detected.,No Risk,
k a,Parse errors #including standard headers like iostream or string for GNU 14,VC-496,"Previously with VectorCAST/C++, parse errors would occur for GNU 14 code using'__bfloat16' literals or builtin operators '__is_array' and '__is_reference'. These problems are fixed in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. These are parse errors easily detected.,No Risk,
k a,Parse errors for vector-related builtins in GNU 14 when #includingx86intrin.h,VC-498,"Previously, VectorCAST/C++ could issue errors for some vector-related builtin functionsrecognized by GNU version 14. This problem is fixed in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. These are parse errors easily detected.,No Risk,
k a,Probe Point Pane fails to display when returning to Probe Points tab in darkmode,VC-653,"Previously, when the coverage option ""Source File Perspective"" was set, the VectorCAST ProbePoint editor would fail to refresh and resize its panes properly when toggling between tabs.This issue, which occurred exclusively in dark mode, has been resolved in VectorCAST version2025 SP1.",Correction in newer version (release notes),No Risk. This is a usability bug with the GUI.,No Risk,
k a,Eliminate C++ harness variables vCAST_VALUE*,VC-707,"In previous versions of VectorCAST/C++, the harness would unnecessarily convert all datainputs to signed integer, unsigned integer, and floating point values using the harnessvariables vCAST_VALUE_INT, vCAST_VALUE_UNSIGNED and vCAST_VALUE. In someuncommon cases, the unnecessary conversions took several seconds of additional processingtime. In VectorCAST version 2025 SP1, data type conversions are now done only as needed, and thevCAST_VALUE* variables have been eliminated.",Correction in newer version (release notes),No Risk. This is a performance/code quality improvement. It does not affect test correctness.,No Risk,
k a,Support removing all probe points for a subprogram,VC-821,"Previously, the context menu item 'Remove Probes for this subprogram' was missing in theProbe Point editor when the coverage option ""Source File Perspective"" was set. This problem isfixed in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Parse error for cast of const value with Keil,VC-822,"Previously, VectorCAST/C++ incorrectly gave the error ""expression must have aconstant value"" when parsing Keil ARM code containing a cast of a const variable used in aconstant expression. This problem has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Save changes to probe point text automatically,VC-824,"Previously, when the coverage option ""Source File Perspective"" was set, the VectorCAST ProbePoint editor prompted users to save changes when switching between editors, causinginconvenience to the user. In VectorCAST version 2025 SP1, edits are automatically savedwhen the editor loses focus.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Disabled probe icons displayed as empty,VC-827,"Previously, when the coverage option ""Source File Perspective"" was set, the VectorCAST ProbePoint editor displayed the probe indicator as a circle, suggesting it had no code at all, when allprobe points were deactivated. The display caused confusion for users expecting the probe iconto be shown in grey. This problem is fixed in VectorCAST version 2025 SP1. The probe iconnow correctly appears in grey when all probe points are deactivated.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI display.,No Risk,
k a,"Display all environment names for a coverable line in the Line Details, even if uncovered",VC-877,"In previous versions of VectorCAST Project, when viewing the aggregated coverage for a source file from the Files tab, VectorCAST provided the environment name(s) providingcoverage for that line in the Line Details section, but only for covered lines. In VectorCAST version 2025 SP1, the names of all environments that are associated with thatline are now provided, whether it is covered or not by test execution. This information isespecially helpful when seeking the relevant environment in order to add tests to achieveincreased coverage.",Correction in newer version (release notes),No Risk. This is a usability enhancement. It provides more information to the user.,No Risk,
k a,Parse error for clang builtin '__datasizeof',VC-882,"Previously, VectorCAST/C++ gave a parse error for clang code containing the builtin operator'__datasizeof'. This problem has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Parse error for clang builtin '__is_trivially_relocatable',VC-883,"Previously, VectorCAST/C++ gave a parse error for clang code containing the builtin operator'__is_trivially_relocatable'. This problem has been resolved in VectorCAST version2025 SP1.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Incorrect source highlighting on multi-line Probe Point instrumentation points,VC-918,"Previously, when the coverage option ""Source File Perspective"" was set, the VectorCAST ProbePoint editor redrew the highlighting on only the first line of probes spanning multiple lines,causing incomplete highlighting and orphan highlighted lines when switching between single-line and multi-line probes. This problem is fixed in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,"Choosing ""Edit Probe Points"" menu item from coverage viewer doesn't jump to line when Probe Point editor already open",VC-919,"Previously, when the coverage option ""Source File Perspective"" was set, the VectorCAST ProbePoint editor did not select the correct line when opening from the coverage viewer. Thisproblem is fixed in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,Improve colors in html reports in dark and high contrast modes,VC-953,VectorCAST version 2025 SP1 improves the colors used in HTML reports for dark mode andhigh-contrast mode.,Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Provide warning and reduce output when invalid compiler template used in project,VC-980,"Previously, when a VectorCAST project encountered an invalid compiler tag, it generated anexcessively large error message. In VectorCAST version 2025 SP1, this issue has beenresolved. The system now displays a concise error message indicating that the tag is invalid.",Correction in newer version (release notes),No Risk. This is a usability enhancement that provides a clearer warning for an obvious problem.,No Risk,
k a,Move release notes to navigation bar on Welcome page,VC-992,"Previously, the link to the Release Notes was accessible only from the Welcome page's ""Home""menu item, requiring users to switch to the Home page to find the link to the Release Notes.To improve the user experience and ease of access, VectorCAST version 2025 SP1 moves thelink to the Release Notes to the navigation bar on the Welcome page, replacing the ""Updates""menu item.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,For a range-based for loop only the 'f' portion considered as the branch for SFP display,VC-1007,"Previously, when the coverage option Source File Perspective (SFP) was set to True,VectorCAST/C++ and VectorCAST Cover displayed only the character 'f' to represent thesource related to the instrumentation point in the coverage viewer and Aggregate Coveragereport for branch-based coverage types. This problem has been fixed in VectorCAST version2025 SP1.",Correction in newer version (release notes),"No Risk, ""Source File Perspective"" (SFP) is not used.",No Risk,
k a,"""Instrumenter parse failed"" error when template function contains aparameter of a type which is undefined",VC-1069,"In previous versions of VectorCAST Cover, instrumenting a template function with noinstantiations and a function parameter of a type that was undefined could result in aninstrumentation error. This problem has been fixed in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is an instrumentation error which is an obvious build blocker.,No Risk,
k a,Coverage missing branch outcome for conditions using #pragma weakfunction1=function2 functions,VC-1078,"Previously, VectorCAST/C++ did not recognize that 'if (function1)' should have two branch outcomes when preceded by a ""#pragma weak function1=function2"" statement. This problem has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),Minor Risk. This bug leads to missing coverage information on very specific occasions and is easily detected during a query or review.,No Risk,
k a,Unhandled exception when instrumenter triggers a failed assertion,VC-1103,"In previous versions of VectorCAST, an unhandled exception could occur due to a failedassertion in the internal parser. This issue has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This bug causes an obvious crash.,No Risk,
k a,Crash generating Basis Path or MC/DC testcase for code with an ifstatement containing _Static_assert,VC-1115,"Previously, VectorCAST/C++ crashed when generating basis path and MC/DC testcases whenthe code contained an if-statement that had a _Static_assert. This problem has beenresolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This bug causes an obvious crash.,No Risk,
k a,"""Cannot backup directory"" message when updating or rebuilding environment on Windows after HTML report",VC-1163,"Previously, when launching the VectorCAST GUI on Windows using'%VECTORCAST_DIR%vcastqt -e <environment name>', the current directory was set tothe environment directory, causing the Chromium-based HTML report renderer to lock thedirectory. As a result, after generating a report in HTML, the user was prevented from updatingor rebuilding the environment with the error message ""Cannot backup directory."" Thisproblem has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a usability bug that would be an obvious blocker when a developer tries to rebuild an environment.,No Risk,
k a,Parse errors due to not recognizing partial ordering of member templateswhen one of the templates is conditionally-explicit,VC-1385,"Previously, VectorCAST/C++ could fail to establish partial ordering of member templates whenone of the templates is conditionally-explicit, causing parse errors designating a constructorcall as ambiguous. This problem has been resolved in VectorCAST version 2025 SP1.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Remove legacy RGW versions 1 & 2,99553,"VectorCAST version 2025 completes the migration of Requirements Gateway (RGW) andremoves all legacy versions of the RGW subsystems. Details on how to configure the Requirements Gateway (RGW) are included in the VectorCASTUser's Guide. For assistance in migrating any legacy RGW databases to the latest RGW data model version(using .json files), contact Vector Tech Support at support@vector.com or visithttps://support.vector.com/.",Correction in newer version (release notes),No Risk. This is a feature removal. It's a change in the tool's functionality not a bug.,No Risk,
k a,Increase default width for Execution Results column in TEXT ExecutionReports,100568,"Previously, the default width of the Pass/Fail column in the Execution Report in TEXT formatwas 13 characters, which sometimes was too narrow for large numbers of compared ExpectedValues, causing the data to wrap to the next line. Beginning with VectorCAST version 2025, thedefault width has changed from 13 to 16 characters. clicast -lc|-lada option VCAST_RPTS_RESULT_COLUMN_WIDTH <width, incharacters>The default value is 16.",Correction in newer version (release notes),No Risk. This is a usability enhancement for report formatting.,No Risk,
k a,Remove original source coverage report,100787,VectorCAST version 2025 removes the Original Source Coverage Report for Projects. Thisfunctionality has been replaced by the Source File Perspective view and reports in Coverageenvironments and Projects.,Correction in newer version (release notes),No Risk. This is a feature removal.,No Risk,
k a,Base directory is no longer added as a testable source directory whencreating a Cover environment,101363,"Previously, when adding a base directory in a Cover environment, the base directory itself wasadded as a testable source directory (TESTABLE_SOURCE_DIR) to the CCAST_.CFG file. Thisproblem is fixed in VectorCAST version 2025.",Correction in newer version (release notes),No Risk. This bug would likely lead to an obvious build failure easily detected by a developer.,No Risk,
k a,Update the oldest environment version that can be used with VectorCAST2025,101647,"VectorCAST unit test environments and coverage environments created before version 2021will not open with VectorCAST version 2025. Before updating from versions prior to 2021, generate regression scripts for all environmentsusing your current VectorCAST version. Then, after installing VectorCAST 2025, recreate eachenvironment from those scripts. This procedure is also recommended for monitoredenvironments within a VectorCAST project. Pre-2021 VectorCAST projects can still be opened with the newest version of VectorCAST.However, any existing pre-2021 environments within these projects must be rebuilt beforethey can be opened.",Correction in newer version (release notes),No Risk. This is a documentation change.,No Risk,
k a,Static analysis tools removed,101698,"Beginning with VectorCAST version 2025, the following static analysis functionality is removed: >The custom tool entries for PC-lint Plus, CodeSonar, and Axivion >The ability to right-click a source file to analyze the source code or to view theanalysis in a VectorCAST/C++ unit test or Cover environment or from the Files tab ofa VectorCAST Project >The ability to push static analysis results with a TESTinsights data push >The Static Analysis main menu and sub-menus However, the Lint analysis DataAPI support remains, but will be removed in the VectorCAST2026 release. The Static analysis option LINT_MISRA remains for use with regression scripts. It is recommended to perform static analysis and results viewing using your local installation ofthe static analysis tool.",Correction in newer version (release notes),No Risk. This is a feature removal.,No Risk,
k a,Project File List in opened migrated environment incorrect,VC-149,"Previously, VectorCAST Projects would generate an invalid Project File List Report when generated while an environment was open. This issue is fixed in VectorCAST version 2025.",Correction in newer version (release notes),No Risk as the test binaries are not compromised.,No Risk,
k a,No longer convert legacy (pre-6.3) RSP DATA files,VC-306,"Previously, VectorCAST RSP would determine if the RSP configuration (CCAST_.CFG file) hadbeen created before VectorCAST version 6.3 and if so, VectorCAST would check for any legacyDATA files that had been moved in the VectorCAST version 6.3 installation. If the configurationwas found to be using any of the moved files, the settings were automatically updated to usethe new file locations. In VectorCAST version 2025, this configuration scanning and updating no longer occurs. Usersupgrading from versions older than 6.3 may need to make RSP changes to use the newversion. As part of this change, the C_COMPILER_CFG_SOURCE option is no longer updated toCONFIG_FILE_63.",Correction in newer version (release notes),No Risk. This is a usability change. The documentation clarifies what the user needs to do to address the issue.,No Risk,
k a,Instrumentation for lambdas in CUDA,VC-365,"Previously, VectorCAST Cover in CUDA mode would instrument all lambda functions as if theywere host functions. Starting with VectorCAST version 2025, lambdas in CUDA mode areinstrumented based on the attributes of their enclosing function.",Correction in newer version (release notes),"No Risk, CUDA is not used by OB.",No Risk,
k a,Add VCAST_DESKTOP_LICENSE_TYPE to NVLM information in diagnosticreport,VC-387,"Starting with VectorCAST version 2025, the value of the environment variableVCAST_DESKTOP_LICENSE_TYPE is displayed in the licensing section of the diagnostic reportwhen NVLM licensing is being used.",Correction in newer version (release notes),No Risk. This is a usability enhancement.,No Risk,
k a,Remove obsolete csv2tst utilities,VC-475,"VectorCAST version 2025 no longer includes the undocumented and obsolete csv2tst.exeand csv2tst.pl utilities. Test case generation from CSV data continues to be supported withCSV Map test cases. For VectorCAST C/C++ and VectorCAST/Ada users unfamiliar with the CSV Map test case, seethe Knowledge Base Article named ""CSV Mapping in VectorCAST/C++"".",Correction in newer version (release notes),No Risk. This is a feature removal.,No Risk,
k a,"For, if, and while not instrumented correctly for branch-based coveragetypes",VC-527,"Previously, when instrumenting source code containing a for loop with an empty condition or an if, else-if, or while condition with a declaration, VectorCAST/C++ and VectorCAST Cover considered the entire loop or condition block as part of the condition branch for branch-based coverage types. This problem has been fixed in VectorCAST version 2025.",Correction in newer version (release notes),No Risk. Minor incorrect instrumentation issue which is easily detected and also false positive.,No Risk,
k a,Update HTML reports to comply with W3C Markup Validator,VC-533,"In VectorCAST version 2025, the HTML report generator has been updated to produce HTMLcode in compliance with the W3C HTML Validator, and to better enable all CSS styles to beavailable for user customization.",Correction in newer version (release notes),No Risk. This is a code quality improvement for reports.,No Risk,
k a,Expanding large arrays causes performance issues,VC-568,"Previously, VectorCAST/C++ automatically expanded large newly-allocated arrays, causingexcessive delays when displaying data in the Parameter Tree. This problem has been resolvedin VectorCAST version 2025. Large arrays now display significantly faster.",Correction in newer version (release notes),No Risk. This is a performance enhancement that doesn't affect test correctness.,No Risk,
k a,Minimum system requirements updated,VC-621,The system requirement for VectorCAST version 2025 on Windows is Windows 10 or higher orWindows Server 2016 or higher. The system requirement for VectorCAST version 2025 onLinux is glibc 2.17 or higher.,Correction in newer version (release notes),No Risk. This is a documentation change.,No Risk,
k a,"Parse error for extern ""C"" unconstrained array in anonymous namespace",VC-672,"Previously, VectorCAST/C++ incorrectly gave a parse error for code containing extern ""C""unconstrained arrays in anonymous namespaces. This problem has been resolved inVectorCAST version 2025.",Correction in newer version (release notes),No Risk. This is a parse error easily detected.,No Risk,
k a,Syntax error in instrumented source code with multiple declarations in an ifstatement,VC-716,"Previously, after instrumenting source code with an if condition containing multipledeclarations, VectorCAST/C++ and VectorCAST Cover displayed a compile error whencompiling the instrumented source file. This problem is fixed in VectorCAST version 2025.",Correction in newer version (release notes),No Risk. This is a compile error easily detected.,No Risk,
k a,"Instrumenter places ""vcast_is_false"" incorrectly in constexpr if block forstatement+branch coverage",VC-788,"Previously, after instrumenting source code containing a 'constexpr if' with no 'else', forStatement+Branch coverage, VectorCAST/C++ and VectorCAST Cover displayed a compileerror when compiling the instrumented source file. This problem is fixed in VectorCAST version2025.",Correction in newer version (release notes),No Risk. This bug causes a compile error easily detected.,No Risk,
k a,Project View Size is Not Preserved,VC-836,"Previously, after opening and then closing a cover environment or unit test environment from aVectorCAST Project, the Project View pane did not properly restore to its original size andinstead shrank unexpectedly. This issue has been fixed in VectorCAST version 2025.",Correction in newer version (release notes),No Risk. This is a usability bug in the GUI.,No Risk,
k a,Set QTWEBENGINE_CHROMIUM_FLAGS to --no-sandbox option,VC-947,"To ensure proper HTML report rendering on the Linux platform, VectorCAST version 2025 sets the environment variable QTWEBENGINE_CHROMIUM_FLAGS to --no-sandbox to address display issues in Qt WebEngine on certain Linux distributions. This option disables sand boxing. If sand boxing is a requirement for your development system, then the use of this option needs to be considered. If desired, you can restore default sandboxing behavior by setting the QTWEBENGINE_CHROMIUM_FLAGS environment variable before starting VectorCAST.",Correction in newer version (release notes),No Risk - only impact on linux usability.,No Risk,
k a,Test case editor incorrectly saving string value as symbolic constant,VC-1017,"Previously, entering a string value in the Parameter Tree when there was a macro of the samename but a different type caused VectorCAST/C++ to incorrectly save the value as a symbolicconstant, leading to an error when executing the test. This problem has been resolved inVectorCAST version 2025.",Correction in newer version (release notes),No Risk. The bug causes a test to fail with an error which is easily detected.,No Risk,
k a,Functions returning a template type with const arguments are not considered testable,99634,"Previously, VectorCAST/C++ did not consider functions with template return types to be testable if the return type had const-qualified template arguments. The affected function(s) would be missing in the test case tree. This issue has been fixed in VectorCAST version 2023 SP7.",Correction in newer version (release notes),"No Risk. This is a usability issue where certain functions were not made available for testing. The issue is easily detected during test development as the affected functions would be visibly absent from the test case tree, prompting the developer to investigate and find an alternative testing approach.",No Risk,
k a,Crash in C++ Wizard while loading environment script,99705,"Previously, VectorCAST/C++ could crash when the user clicked the Load button or specified a vcshell database in the Create New Environment wizard while already loading an environment script. This problem has been fixed in VectorCAST version 2023 SP7 by preventing user interaction with the wizard while completing the loading process.",Correction in newer version (release notes),No Risk. This is a GUI crash which is an easily detected usability bug that acts as an obvious blocker during environment setup. It does not affect the correctness of tests or reports once an environment is successfully created.,No Risk,
k a,Compile error in test harness when using IAR __near and __far qualifiers,99821,"Previously, VectorCAST/C++ did not retain the IAR __near, __far, __far_func, and __near_func qualifiers in the test harness, which resulted in compile errors for some IAR targets. This problem has been fixed in VectorCAST version 2023 SP7.",Correction in newer version (release notes),No Risk. This is a compile error which is easily detected and would block the build. It's a classic 'fix it and move on' type of issue that prevents any further progress until resolved.,No Risk,
k a,The vcdb --abspath parameter does not need to quote paths containing dashes,100257,"In previous versions of VectorCAST, specifying --abspath to vcdb would produce output where paths containing '-' would always be quoted. In VectorCAST version 2023 SP7, the presence of '-' in a path does not trigger quoting on its own.",Correction in newer version (release notes),No Risk. This is a cosmetic output formatting issue in a command-line utility that does not affect the functionality of the tool or the correctness of test results. The paths are still correctly identified.,No Risk,
k a,Internal error when building environment with library stubs and pointer-to-member specialization,100539,"Previously, VectorCAST/C++ encountered internal errors while checking for library stubs in environments containing class templates specialized on pointer to member, where the templates also defined member functions. This led to crashes in the environment builder. This issue has been fixed in VectorCAST version 2023 SP7.",Correction in newer version (release notes),"No Risk. This is a crash during environment build which is an obvious and easily detected blocker. No tests can be created or executed until the environment is successfully built, making this a clear failure point.",No Risk,
k a,Support Test Case Tree display of functions with same name differing only in case,96665,"Previously, VectorCAST/C++ did not correctly display functions having the same name but differing only in case in the Test Case Tree. This problem has been resolved in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. This is a display bug in the GUI where functions were not shown correctly in the tree view. The underlying test data and execution are not affected, and the missing functions would be immediately obvious to a developer reviewing the test case tree.",No Risk,
k a,"Instantiating a class in the global part of the parameter tree is not working, no vtable created for param class",98638,"Previously, VectorCAST/C++ incorrectly allocated memory when initializing a class instance in which the class constructor took an array of default constructable classes, causing the test harness to crash during execution. This issue has been resolved in VectorCAST version 2023 SP6.",Correction in newer version (release notes),No Risk. This bug causes a test harness crash which is an obvious runtime failure easily detected during test execution. The crash would immediately alert the developer to the problem.,No Risk,
k a,Using clicast command with non-existing environment gives a misleading message,99010,"Previously, running a clicast command on Linux with an environment that did not exist triggered an error message stating the environment was in a read-only directory. Starting with VectorCAST version 2023 SP6, the environment directory is correctly reported as missing.",Correction in newer version (release notes),"No Risk. This is a usability bug with error messaging. While the error message was misleading, the command still failed clearly, alerting the user to the problem. The corrected message simply provides better diagnostic information.",No Risk,
k a,Garbled Japanese text in message window when building QA environment in VectorCAST Project,99232,"In previous versions of VectorCAST, UTF-8 characters were not displayed properly in the message window. This issue has been fixed in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. This is a character encoding display issue in the GUI that affects the readability of messages but does not affect the underlying functionality, test execution, or results.",No Risk,
k a,Harness compile error when finalization used in SBF unit,99316,"In previous versions of VectorCAST/Ada, SBF units that used a finalization subprogram would result in a harness compile error due to required objects being missing. This problem is fixed in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. This is a compile error which is easily detected and blocks the build, preventing any further testing until resolved.",No Risk,
k a,Compile error in Ada whitebox environments with private subprograms with abstract parameter type,99344,"In previous versions of VectorCAST/Ada, a harness compile error could occur for whitebox environments where a private subprogram had a parameter of an abstract type. This problem is fixed in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. This is a compile error which is an obvious build blocker, easily detected during the build process.",No Risk,
k a,Compile error with Template Instantiation Coverage when passing lambda to template function with rvalue reference argument,99395,"In previous versions of VectorCAST/C++, instrumenting a class's member function where the class object is instantiated with a lambda could result in a generated type name being inserted into the instrumented source file, which would cause errors at compile time. This has been fixed in VectorCAST/C++ version 2023 SP6.",Correction in newer version (release notes),No Risk. This is a compile error in the instrumented source file which is easily detected during the build process.,No Risk,
k a,Support Buffered I/O in vcwrap workflow with Green Hills compilers,99407,VectorCAST Cover version 2023 SP6 supports cover environments with Buffered I/O when using the vcwrap workflow and a Green Hills compiler.,Correction in newer version (release notes),"No Risk. This is a new feature addition that extends support for a specific workflow and compiler combination, not a bug fix.",No Risk,
k a,"Vcwrap problem with ""clicast build --intercept"" command on Ubuntu 22.04",99417,"In VectorCAST version 2023 SP6, the vcwrap workflow now supports recording additional system calls used to spawn processes.",Correction in newer version (release notes),"No Risk. This is a feature enhancement to improve compatibility with Ubuntu 22.04, extending support for additional system calls.",No Risk,
k a,Add scrollbar to Options dialog when screen resolution is very small,99554,"Previously, if the user's screen was set to a low resolution (800x600), the OK and Cancel buttons in the Options dialog were unreachable. VectorCAST version 2023 SP6 adds a vertical scrollbar to the Options dialog when needed.",Correction in newer version (release notes),No Risk. This is a GUI usability improvement for low-resolution displays. It does not affect test correctness or functionality.,No Risk,
k a,Code Coverage Summary Environment Counts column invisible,99726,"In previous versions of VectorCAST, the Code Coverage Summary would display an unsupported Environment Count column when a VectorCAST Project was open in Source File Perspective mode. The cells for this column would always be empty. This issue has been resolved in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. This is a GUI display issue where an unsupported column was shown. The underlying data was correct, and the empty column would be immediately obvious to users.",No Risk,
k a,Coverage by Analysis results improperly taking precedence over execution results in DataAPI and Metrics report,99789,"By definition, an MC/DC condition is covered by execution when at least one of its pairs is covered by execution. In previous versions of VectorCAST/C++ and VectorCAST Cover, the DataAPI would incorrectly mark a condition as covered by analysis (CBA) if it contained a pair that was covered by analysis, even if the condition also contained a pair that was covered by execution. The MC/DC pair metrics are retrieved from the DataAPI when generating the Metrics report in Translation Unit Perspective (TUP) mode, causing incorrect MC/DC pair metrics to be displayed in the report and conflicting with the metrics displayed in the Source File View Coverage Columns and Coverage Viewer. In VectorCAST version 2023 SP6, the DataAPI correctly marks an MC/DC condition as covered by execution when at least one of its pairs is covered by execution, even if it also contains a pair(s) that is covered by analysis, thus correcting the MC/DC pair metrics in the Metrics report in TU perspective as a result.",Correction in newer version (release notes),"No Risk. Cover By Analsysis (CAB) coverage is not used. This bug causes incorrect MC/DC coverage reporting where Coverage by Analysis incorrectly takes precedence over execution coverage. This is a silent reporting failure. However, the impact is mitigated by the fact that: (1) execution coverage is more rigorous than CBA, so the actual coverage level achieved is higher than reported, and (2) the discrepancy between different reports would likely be noticed during review.",No Risk,
k a,Support search in Object Initialization User Code window,99853,VectorCAST/C++ version 2023 SP6 supports searching for an object while using the Object Initialization User Code window.,Correction in newer version (release notes),"No Risk. This is a new feature addition that adds search functionality to a GUI window, improving usability without affecting existing functionality.",No Risk,
k a,Improve handling of errors from corrupted compound,99862,"In previous versions of VectorCAST, invalid slots within compound test cases would result in unclear error messages. In VectorCAST version 2023 SP6, the error messages are clarified to indicate that the slot data is invalid.",Correction in newer version (release notes),"No Risk. This is a usability enhancement that improves error messaging. The underlying errors were already being detected and reported, just with less clear messaging.",No Risk,
k a,Code Coverage Summary not showing correct coverage with tic files,99871,"In previous versions of VectorCAST Project, with the default Translation Unit perspective set, the Code Coverage Summary could incorrectly report a function's coverage when it was contained in multiple translation units (represented in the Files tab as tic files) across a Project. This problem has been fixed in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"Potential Risk. This is a silent reporting bug where coverage for functions in multiple translation units could be incorrectly calculated in the summary. This could mislead a reviewer about the actual coverage achieved, compromising the integrity of test documentation for regulatory compliance.",Risk exists,
k a,Coverage is not updated for headers after full build-execute in Project,99878,"Previously, stale Source File Perspective coverage could be displayed after a Build/Execute request in a VectorCAST Project. This issue has been fixed in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. Source File Perspective is not used. This bug causes stale coverage data to be displayed for headers after a rebuild/execute, which is a silent failure.",No Risk,
k a,Incorrect instrumentation data with constexpr function calls with vcwrap workflow,99902,"When using the vcwrap work flow in previous versions of VectorCAST Cover, constant objects instantiated by aggregate initializers containing constexpr calls could potentially be instrumented incorrectly if Function Call instrumentation was enabled, resulting in syntax errors in the instrumented source file. This problem has been fixed in VectorCAST version 2023 SP6.",Correction in newer version (release notes),No Risk. This bug causes syntax errors in the instrumented source file which are easily detected during compilation.,No Risk,
k a,Cannot open unit test environment in VectorCAST Project in certain circumstances,99934,"Previously, VectorCAST Project was unable to open migrated unit test environments in a Project after a Cover environment was opened and closed, and then the coverage viewer was displayed while a C++ Enterprise Edition license was available. This problem has been resolved in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. This is a usability bug under very specific conditions that prevents opening an environment. The failure is obvious and immediate, acting as a clear blocker that would prompt investigation.",No Risk,
k a,No error shown when VectorCAST cannot open an environment,99936,"In previous versions of VectorCAST/C++ or VectorCAST/Ada, if the environment builder exited with a success status but failed to produce a valid environment directory, VectorCAST could fail to show an error that the environment could not be opened. This problem is fixed in VectorCAST version 2023 SP6.",Correction in newer version (release notes),"No Risk. This is a usability bug with error messaging. While the error message was missing, the fact that the environment cannot be opened would be immediately obvious to the developer when they attempted to use it.",No Risk,
